game_id,commence_time,home_team,away_team,kickoff_local,nfl_week_index,home_line_model,spread_mu,spread_sigma,p_home_cover_at_model,p_home_cover_at_zero,home_score,away_score,winner
2024_15_ATL_LV,,LV,ATL,,,0.4,-0.43139692082476855,13.5,0.474520684106284,0.4872538381012188,9.0,15.0,away
2024_16_DEN_LAC,,LAC,DEN,,,-1.8,1.7942921359814095,13.5,0.6048114874005348,0.5528679299147344,34.0,27.0,home
2024_16_HOU_KC,,KC,HOU,,,-6.7,6.736346347845553,13.5,0.840854801551735,0.6911062988803414,27.0,19.0,home
2024_16_PIT_BAL,,BAL,PIT,,,-2.4,2.3616162006758508,13.5,0.6367815186181266,0.5694344625354062,34.0,17.0,home
2024_16_NYG_ATL,,ATL,NYG,,,-7.9,7.880039974386926,13.5,0.8784782546571107,0.7202911587600808,34.0,7.0,home
2024_16_ARI_CAR,,CAR,ARI,,,0.7,-0.6935890757072146,13.5,0.4590791322544232,0.4795125684742483,36.0,30.0,home
2024_16_DET_CHI,,CHI,DET,,,4.5,-4.464347568458821,13.5,0.2541827776082167,0.3704384170617755,17.0,34.0,away
2024_16_CLE_CIN,,CIN,CLE,,,-5.8,5.82527576987964,13.5,0.8059323160524354,0.6669482675288528,24.0,6.0,home
2024_16_TEN_IND,,IND,TEN,,,-6.0,6.011473506110719,13.5,0.8134250595004464,0.6719464689357485,38.0,30.0,home
2024_16_LA_NYJ,,NYJ,LA,,,1.0,-0.9612745303031508,13.5,0.4433776707002237,0.47161709381935657,9.0,19.0,away
2024_16_PHI_WAS,,WAS,PHI,,,0.2,-0.23609384360713026,13.5,0.48604909403238306,0.4930234803386877,36.0,33.0,home
2024_16_MIN_SEA,,SEA,MIN,,,0.5,-0.48829880845129825,13.5,0.4711654418331318,0.4855732909600349,24.0,27.0,away
2024_16_NE_BUF,,BUF,NE,,,-10.8,10.779483970229354,13.5,0.9448627536437063,0.7877040878954717,24.0,21.0,home
2024_16_JAX_LV,,LV,JAX,,,-2.0,1.9633405447205363,13.5,0.6144228164438601,0.5578153494079792,19.0,14.0,home
2024_16_SF_MIA,,MIA,SF,,,-3.2,3.1987940293980746,13.5,0.6822127543681242,0.5936513201678202,29.0,17.0,home
2024_16_TB_DAL,,DAL,TB,,,-1.1,1.101806490672892,13.5,0.5648315595472236,0.5325236811301264,26.0,24.0,home
2024_16_NO_GB,,GB,NO,,,-8.1,8.114943424848223,13.5,0.8853596558945211,0.7261156128115542,34.0,0.0,home
2024_17_KC_PIT,,PIT,KC,,,0.4,-0.4007762571790698,13.5,0.4763270070841291,0.48815828802121997,10.0,29.0,away
2024_17_BAL_HOU,,HOU,BAL,,,-1.6,1.628470163116034,13.5,0.595321194773637,0.5480069250938856,2.0,31.0,away
2024_17_SEA_CHI,,CHI,SEA,,,0.6,-0.6060709146748278,13.5,0.4642277294351379,0.48209584314134557,3.0,6.0,away
2024_17_LAC_NE,,NE,LAC,,,2.4,-2.3649370149079334,13.5,0.3630338808948441,0.4304688953618395,7.0,40.0,away
2024_17_DEN_CIN,,CIN,DEN,,,-1.3,1.2837482960809334,13.5,0.5754178912182022,0.5378793090394116,30.0,24.0,home
2024_17_ARI_LA,,LA,ARI,,,-5.5,5.465520258317098,13.5,0.7909456182381218,0.657207345597332,13.0,9.0,home
2024_17_NYJ_BUF,,BUF,NYJ,,,-10.4,10.449134659997458,13.5,0.9391912532708222,0.780537553716192,40.0,14.0,home
2024_17_TEN_JAX,,JAX,TEN,,,-3.0,2.9890818453833616,13.5,0.6710545421587142,0.5876147474371383,20.0,13.0,home
2024_17_LV_NO,,NO,LV,,,-4.7,4.674214208663087,13.5,0.7556808298605511,0.6354181041925282,10.0,25.0,away
2024_17_IND_NYG,,NYG,IND,,,2.0,-2.03936170194768,13.5,0.38127737391860683,0.4399626823331343,45.0,33.0,home
2024_17_DAL_PHI,,PHI,DAL,,,-7.7,7.6995063936836186,13.5,0.8729958656906806,0.7157743422318924,41.0,7.0,home
2024_17_CAR_TB,,TB,CAR,,,-6.7,6.666588199588258,13.5,0.8383361659723528,0.6892838225013398,48.0,14.0,home
2024_17_MIA_CLE,,CLE,MIA,,,0.4,-0.3579660024103387,13.5,0.4788532054905943,0.4894228858945989,3.0,20.0,away
2024_17_GB_MIN,,MIN,GB,,,-4.5,4.538205268024958,13.5,0.749312134224693,0.6316261568343376,27.0,25.0,home
2024_17_ATL_WAS,,WAS,ATL,,,-4.9,4.90579653281459,13.5,0.7663210626962822,0.641844086892271,30.0,24.0,home
2024_17_DET_SF,,SF,DET,,,3.5,-3.544846303162413,13.5,0.299735145041339,0.3964366930252904,34.0,40.0,away
2024_18_CLE_BAL,,BAL,CLE,,,-10.5,10.514545180421216,13.5,0.9403490426382177,0.7819674911922936,35.0,10.0,home
2024_18_CIN_PIT,,PIT,CIN,,,-4.4,4.436388130249741,13.5,0.7444875586717148,0.6287790430495831,17.0,19.0,away
2024_18_CAR_ATL,,ATL,CAR,,,-6.4,6.411855614812682,13.5,0.8289196189779942,0.6825895022381661,38.0,44.0,away
2024_18_WAS_DAL,,DAL,WAS,,,0.3,-0.3105214244781812,13.5,0.4816538600530611,0.4908245035217278,19.0,23.0,away
2024_18_CHI_GB,,GB,CHI,,,-9.7,9.729712026879017,13.5,0.9252696249458202,0.7644589159434418,22.0,24.0,away
2024_18_JAX_IND,,IND,JAX,,,-5.7,5.714355597502241,13.5,0.8013829137429744,0.6639565503001448,26.0,23.0,home
2024_18_BUF_NE,,NE,BUF,,,6.1,-6.058758076162179,13.5,0.18470107573492212,0.32678908958096353,23.0,16.0,home
2024_18_NYG_PHI,,PHI,NYG,,,-12.3,12.31053914003807,13.5,0.9659076011061789,0.8190871575859895,20.0,13.0,home
2024_18_NO_TB,,TB,NO,,,-6.9,6.911957414450774,13.5,0.8470808725860118,0.6956733913540063,27.0,19.0,home
2024_18_HOU_TEN,,TEN,HOU,,,2.1,-2.142249841749832,13.5,0.37548130239709476,0.43695846000963323,14.0,23.0,away
2024_18_SF_ARI,,ARI,SF,,,-3.9,3.917510089620439,13.5,0.719168063041129,0.6141630011961126,47.0,24.0,home
2024_18_KC_DEN,,DEN,KC,,,2.2,-2.2058781026398555,13.5,0.37191080661093734,0.43510238995563255,38.0,0.0,home
2024_18_SEA_LA,,LA,SEA,,,-4.3,4.347146967782944,13.5,0.7402193423841756,0.6262777764039744,25.0,30.0,away
2024_18_LAC_LV,,LV,LAC,,,2.2,-2.217881141522862,13.5,0.3712384795186432,0.4347524139374743,20.0,34.0,away
2024_18_MIA_NYJ,,NYJ,MIA,,,0.6,-0.5804282130859436,13.5,0.46573743574510307,0.48285288636263046,32.0,20.0,home
2024_18_MIN_DET,,DET,MIN,,,-3.2,3.173066310740176,13.5,0.6808524610766434,0.5929119127373057,31.0,9.0,home
